date,estimated_boardings,is_holiday,prcp,snow,tmax,tmin,day_of_week,month,year,estimated_boardings_lag_day,estimated_boardings_lag_week
2024-01-08,94285,False,0.0,0.0,36,26,Monday,January,2024,88384,25863
2024-01-09,103776,False,0.65,0.0,44,23,Tuesday,January,2024,94285,92377
2024-01-10,101783,False,1.82,0.0,56,44,Wednesday,January,2024,103776,100535
2024-01-11,106267,False,0.0,0.0,45,39,Thursday,January,2024,101783,104767
2024-01-12,92679,False,0.0,0.0,47,36,Friday,January,2024,106267,88384
2024-01-16,102996,False,0.56,3.5,35,24,Tuesday,January,2024,60213,103776
2024-01-17,109848,False,0.0,0.0,27,19,Wednesday,January,2024,102996,101783
2024-01-18,106704,False,0.0,0.0,29,18,Thursday,January,2024,109848,106267
2024-01-19,92672,False,0.0,0.0,29,19,Friday,January,2024,106704,92679
2024-01-22,104225,False,0.0,0.0,38,19,Monday,January,2024,92672,60213
2024-01-23,111443,False,0.01,0.1,40,32,Tuesday,January,2024,104225,102996
2024-01-24,111693,False,0.45,0.9,39,32,Wednesday,January,2024,111443,109848
2024-01-25,108632,False,0.22,0.0,52,39,Thursday,January,2024,111693,106704
2024-01-26,93609,False,0.78,0.0,41,37,Friday,January,2024,108632,92672
2024-01-29,99499,False,0.09,0.1,36,33,Monday,January,2024,93609,104225
2024-01-30,110792,False,0.0,0.0,33,26,Tuesday,January,2024,99499,111443
2024-01-31,109479,False,0.0,0.0,35,27,Wednesday,January,2024,110792,111693
2024-02-01,109522,False,0.0,0.0,42,34,Thursday,February,2024,109479,108632
2024-02-02,91881,False,0.07,0.0,42,35,Friday,February,2024,109522,93609
2024-02-05,101320,False,0.0,0.0,41,26,Monday,February,2024,91881,99499
2024-02-06,107240,False,0.0,0.0,37,29,Tuesday,February,2024,101320,110792
2024-02-07,107194,False,0.0,0.0,40,28,Wednesday,February,2024,107240,109479
2024-02-08,108210,False,0.0,0.0,42,28,Thursday,February,2024,107194,109522
2024-02-09,97087,False,0.0,0.0,48,30,Friday,February,2024,108210,91881
2024-02-12,107394,False,0.0,0.0,45,34,Monday,February,2024,97087,101320
2024-02-13,61385,False,0.24,0.1,38,32,Tuesday,February,2024,107394,107240
2024-02-14,110377,False,0.0,0.0,35,26,Wednesday,February,2024,61385,107194
2024-02-15,109342,False,0.01,0.4,39,25,Thursday,February,2024,110377,108210
2024-02-16,92360,False,0.0,0.0,39,29,Friday,February,2024,109342,97087
2024-02-20,105104,False,0.0,0.0,35,20,Tuesday,February,2024,33919,61385
2024-02-21,109350,False,0.0,0.0,37,22,Wednesday,February,2024,105104,110377
2024-02-22,109749,False,0.01,0.0,43,24,Thursday,February,2024,109350,109342
2024-02-23,95419,False,0.05,0.0,43,36,Friday,February,2024,109749,92360
2024-02-26,101071,False,0.0,0.0,56,29,Monday,February,2024,95419,33919
2024-02-27,108496,False,0.09,0.0,52,30,Tuesday,February,2024,101071,105104
2024-02-28,111684,False,0.09,0.0,56,39,Wednesday,February,2024,108496,109350
2024-02-29,114952,False,0.05,0.0,39,26,Thursday,February,2024,111684,109749
2024-03-01,98688,False,0.0,0.0,43,23,Friday,March,2024,114952,95419
2024-03-04,107005,False,0.0,0.0,53,38,Monday,March,2024,98688,101071
2024-03-05,116701,False,0.16,0.0,43,38,Tuesday,March,2024,107005,108496
2024-03-06,114610,False,0.37,0.0,51,41,Wednesday,March,2024,116701,111684
2024-03-07,112708,False,1.07,0.0,45,40,Thursday,March,2024,114610,114952
