servicedate,line,estimated_boardings
2020-06-22,Fairmount,157
2020-06-22,Fitchburg,486
2020-06-22,Framingham/Worcester,33
2020-06-22,Franklin/Foxboro,276
2020-06-22,Greenbush,176
2020-06-22,Haverhill,332
2020-06-22,Kingston,410
2020-06-22,Lowell,421
2020-06-22,Middleborough/Lakeville,601
2020-06-22,Needham,55
2020-06-22,Newburyport/Rockport,697
2020-06-22,Providence/Stoughton,447
2020-06-23,Fairmount,168
2020-06-23,Fitchburg,546
2020-06-23,Framingham/Worcester,183
2020-06-23,Franklin/Foxboro,567
2020-06-23,Greenbush,245
2020-06-23,Haverhill,453
2020-06-23,Kingston,505
2020-06-23,Lowell,607
2020-06-23,Middleborough/Lakeville,752
2020-06-23,Needham,85
2020-06-23,Newburyport/Rockport,1137
2020-06-23,Providence/Stoughton,981
2020-06-24,Fairmount,221
2020-06-24,Fitchburg,508
2020-06-24,Framingham/Worcester,183
2020-06-24,Franklin/Foxboro,577
2020-06-24,Greenbush,245
2020-06-24,Haverhill,455
2020-06-24,Kingston,432
2020-06-24,Lowell,600
2020-06-24,Middleborough/Lakeville,771
2020-06-24,Needham,204
2020-06-24,Newburyport/Rockport,1050
2020-06-24,Providence/Stoughton,1311
2020-06-25,Fairmount,234
2020-06-25,Fitchburg,531
2020-06-25,Framingham/Worcester,183
2020-06-25,Franklin/Foxboro,590
2020-06-25,Greenbush,254
2020-06-25,Haverhill,585
2020-06-25,Kingston,496
2020-06-25,Lowell,658
2020-06-25,Middleborough/Lakeville,787
2020-06-25,Needham,257
2020-06-25,Newburyport/Rockport,1223
2020-06-25,Providence/Stoughton,1283
2020-06-26,Fairmount,212
2020-06-26,Fitchburg,368
2020-06-26,Framingham/Worcester,212
2020-06-26,Franklin/Foxboro,569
2020-06-26,Greenbush,291
2020-06-26,Haverhill,493
2020-06-26,Kingston,498
2020-06-26,Lowell,677
2020-06-26,Middleborough/Lakeville,822
2020-06-26,Needham,263
2020-06-26,Newburyport/Rockport,1149
2020-06-26,Providence/Stoughton,1239
2020-06-29,Fairmount,201
2020-06-29,Fitchburg,516
2020-06-29,Framingham/Worcester,201
2020-06-29,Franklin/Foxboro,595
2020-06-29,Greenbush,298
2020-06-29,Haverhill,520
2020-06-29,Kingston,561
2020-06-29,Lowell,661
2020-06-29,Middleborough/Lakeville,700
2020-06-29,Needham,247
2020-06-29,Newburyport/Rockport,1233
2020-06-29,Providence/Stoughton,1393
2020-06-30,Fairmount,243
2020-06-30,Fitchburg,447
2020-06-30,Framingham/Worcester,201
2020-06-30,Franklin/Foxboro,726
2020-06-30,Greenbush,243
2020-06-30,Haverhill,559
2020-06-30,Kingston,567
2020-06-30,Lowell,675
2020-06-30,Middleborough/Lakeville,840
2020-06-30,Needham,283
2020-06-30,Newburyport/Rockport,1135
2020-06-30,Providence/Stoughton,1552
2020-07-01,Fairmount,266
2020-07-01,Fitchburg,503
2020-07-01,Framingham/Worcester,201
2020-07-01,Franklin/Foxboro,878
2020-07-01,Greenbush,278
2020-07-01,Haverhill,590
2020-07-01,Kingston,542
2020-07-01,Lowell,714
2020-07-01,Middleborough/Lakeville,828
2020-07-01,Needham,336
2020-07-01,Newburyport/Rockport,1269
2020-07-01,Providence/Stoughton,1792
2020-07-02,Fairmount,271
2020-07-02,Fitchburg,658
2020-07-02,Framingham/Worcester,201
2020-07-02,Franklin/Foxboro,836
2020-07-02,Greenbush,297
2020-07-02,Haverhill,569
2020-07-02,Kingston,519
2020-07-02,Lowell,869
2020-07-02,Middleborough/Lakeville,783
2020-07-02,Needham,328
2020-07-02,Newburyport/Rockport,1284
2020-07-02,Providence/Stoughton,1971
2020-07-06,Fairmount,251
2020-07-06,Fitchburg,492
2020-07-06,Framingham/Worcester,201
2020-07-06,Franklin/Foxboro,714
2020-07-06,Greenbush,285
2020-07-06,Haverhill,635
2020-07-06,Kingston,490
2020-07-06,Lowell,791
2020-07-06,Middleborough/Lakeville,776
2020-07-06,Needham,310
2020-07-06,Newburyport/Rockport,1308
2020-07-06,Providence/Stoughton,2051
2020-07-07,Fairmount,283
2020-07-07,Fitchburg,564
2020-07-07,Framingham/Worcester,243
2020-07-07,Franklin/Foxboro,820
2020-07-07,Greenbush,319
2020-07-07,Haverhill,690
2020-07-07,Kingston,727
2020-07-07,Lowell,905
2020-07-07,Middleborough/Lakeville,918
2020-07-07,Needham,382
2020-07-07,Newburyport/Rockport,1497
2020-07-07,Providence/Stoughton,2147
2020-07-08,Fairmount,304
2020-07-08,Fitchburg,525
2020-07-08,Framingham/Worcester,318
2020-07-08,Franklin/Foxboro,1066
2020-07-08,Greenbush,277
